排名,股票代码,股票名称,最新价,5 日涨跌幅,5 日主力净流入 - 净额,5 日主力净流入 - 净占比,5 日超大单净流入 - 净额,5 日超大单净流入 - 净占比,5 日大单净流入 - 净额,5 日大单净流入 - 净占比,5 日中单净流入 - 净额,5 日中单净流入 - 净占比,5 日小单净流入 - 净额,5 日小单净流入 - 净占比
76,601088,中国神华,32.45,+3.04%,8.20亿,4.25%,8.20亿,5.10%,-2.23亿,-2.27%,-3.73亿,-3.40%,-4.47亿,-3.97%
77,000858,五粮液,168.92,+4.30%,8.06亿,2.55%,8.06亿,3.06%,-2.21亿,-1.38%,-3.67亿,-2.07%,-4.41亿,-2.42%
78,600030,中信证券,21.34,+8.19%,7.92亿,5.76%,7.92亿,6.91%,-2.17亿,-3.16%,-3.62亿,-4.73%,-4.35亿,-5.52%
79,000002,万科 A,12.87,+5.46%,7.78亿,6.57%,7.78亿,7.88%,-2.15亿,-3.65%,-3.57亿,-5.47%,-4.29亿,-6.38%
80,601318,中国平安,48.92,+3.43%,7.64亿,3.24%,7.64亿,3.89%,-2.11亿,-1.82%,-3.52亿,-2.74%,-4.23亿,-3.19%
81,000333,美的集团,58.76,+5.08%,7.51亿,3.66%,7.51亿,4.39%,-2.08亿,-2.09%,-3.47亿,-3.14%,-4.17亿,-3.66%
82,600900,长江电力,25.43,+1.19%,7.37亿,2.68%,7.37亿,3.22%,-2.06亿,-1.56%,-3.43亿,-2.33%,-4.11亿,-2.72%
83,601888,中国中免,98.45,+9.34%,7.24亿,4.61%,7.24亿,5.53%,-2.03亿,-2.71%,-3.38亿,-4.07%,-4.05亿,-4.75%
84,000568,泸州老窖,198.76,+6.61%,7.10亿,2.83%,7.10亿,3.40%,-2.00亿,-1.69%,-3.33亿,-2.54%,-3.99亿,-2.96%
85,600276,恒瑞医药,45.67,+1.96%,6.97亿,2.42%,6.97亿,2.91%,-1.97亿,-1.47%,-3.28亿,-2.20%,-3.93亿,-2.57%
86,601398,工商银行,4.89,+1.43%,6.84亿,1.52%,6.84亿,1.83%,-1.94亿,-0.94%,-3.23亿,-1.40%,-3.87亿,-1.64%
87,000001,平安银行,12.34,+3.12%,6.71亿,2.28%,6.71亿,2.73%,-1.91亿,-1.42%,-3.17亿,-2.14%,-3.81亿,-2.49%
88,601288,农业银行,3.45,+1.01%,6.57亿,1.34%,6.57亿,1.60%,-1.88亿,-0.85%,-3.12亿,-1.27%,-3.75亿,-1.48%
89,000725,京东方 A,4.23,+5.88%,6.45亿,2.90%,6.45亿,3.47%,-1.84亿,-1.87%,-3.08亿,-2.80%,-3.69亿,-3.27%
90,600887,伊利股份,32.56,+2.73%,6.32亿,1.76%,6.32亿,2.12%,-1.81亿,-1.16%,-3.02亿,-1.73%,-3.63亿,-2.02%
91,002304,洋河股份,112.34,+4.30%,6.19亿,2.07%,6.19亿,2.48%,-1.78亿,-1.38%,-2.97亿,-2.07%,-3.57亿,-2.42%
92,601857,中国石油,7.89,+1.79%,6.06亿,1.58%,6.06亿,1.89%,-1.75亿,-1.07%,-2.92亿,-1.60%,-3.51亿,-1.87%
93,000825,太钢不锈,5.67,+8.19%,5.93亿,2.97%,5.93亿,3.56%,-1.72亿,-2.05%,-2.88亿,-3.07%,-3.45亿,-3.58%
94,600028,中国石化,5.23,+1.33%,5.81亿,1.40%,5.81亿,1.68%,-1.69亿,-0.98%,-2.82亿,-1.47%,-3.39亿,-1.72%
95,000100,TCL 科技,4.56,+6.61%,5.68亿,2.37%,5.68亿,2.84%,-1.67亿,-1.69%,-2.78亿,-2.54%,-3.33亿,-2.96%
96,601988,中国银行,3.67,+0.95%,5.56亿,1.09%,5.56亿,1.31%,-1.64亿,-0.79%,-2.73亿,-1.19%,-3.27亿,-1.39%
97,000776,广发证券,15.89,+5.46%,5.44亿,2.10%,5.44亿,2.52%,-1.60亿,-1.56%,-2.68亿,-2.33%,-3.21亿,-2.72%
98,600016,民生银行,4.12,+1.71%,5.31亿,1.24%,5.31亿,1.49%,-1.57亿,-0.94%,-2.62亿,-1.40%,-3.15亿,-1.64%
99,000063,中兴通讯,28.45,+7.42%,5.19亿,2.37%,5.19亿,2.85%,-1.54亿,-1.82%,-2.58亿,-2.74%,-3.09亿,-3.19%
100,601601,中国太保,26.78,+3.04%,5.07亿,1.42%,5.07亿,1.70%,-1.51亿,-1.11%,-2.52亿,-1.67%,-3.03亿,-1.95%
