排名,股票代码,股票名称,最新价,涨跌幅,主力净流入,主力净占比,超大单净流入,超大单净占比,大单净流入,大单净占比,中单净流入,中单净占比,小单净流入,小单净占比
15,301308,江波龙,326.17,+2.25%,4.90 亿,8.03%,3.00 亿,4.92%,1.90 亿,3.11%,-2.49 亿,-4.09%,-2.41 亿,-3.95%
16,600036,招商银行,39.76,+0.66%,4.58 亿,15.05%,3.71 亿,12.21%,8660.34 万,2.85%,-2.04 亿,-6.70%,-2.54 亿,-8.35%
17,002056,横店东磁,25.84,+10.00%,4.53 亿,20.62%,5.83 亿,26.51%,-1.30 亿,-5.89%,-2.56 亿,-11.66%,-1.97 亿,-8.96%
18,300505,川金诺,38.90,+14.82%,4.36 亿,10.91%,5.24 亿,13.11%,-8804.06 万,-2.20%,-2.13 亿,-5.33%,-2.23 亿,-5.58%
19,603169,兰石重装,12.80,+9.97%,4.21 亿,30.54%,4.75 亿,34.45%,-5403.29 万,-3.92%,-2.03 亿,-14.71%,-2.18 亿,-15.83%
20,300750,宁德时代,397.00,+0.38%,4.15 亿,2.92%,-3.12 亿,-2.20%,7.27 亿,5.12%,-2.83 亿,-1.99%,-1.32 亿,-0.93%
21,002273,水晶光电,27.62,+7.43%,3.97 亿,11.09%,4.79 亿,13.36%,-8132.51 万,-2.27%,-1.92 亿,-5.36%,-2.05 亿,-5.73%
22,688308,欧科亿,93.38,+6.05%,3.96 亿,25.96%,3.62 亿,23.71%,3433.86 万,2.25%,-1.31 亿,-8.55%,-2.66 亿,-17.41%
23,601012,隆基绿能,18.87,-0.37%,3.84 亿,5.88%,2.51 亿,3.84%,1.33 亿,2.03%,-4655.75 万,-0.71%,-3.38 亿,-5.16%
24,000651,格力电器,38.60,+1.90%,3.74 亿,16.41%,1.64 亿,7.18%,2.10 亿,9.22%,-6600.82 万,-2.90%,-3.08 亿,-13.51%
25,688027,国盾量子,661.00,+1.69%,3.72 亿,12.83%,6362.38 万,2.19%,3.09 亿,10.63%,-3.70 亿,-12.75%,-210.94 万,-0.07%
26,603366,日出东方,10.32,+10.02%,3.60 亿,42.94%,3.69 亿,44.02%,-907.73 万,-1.08%,-1.70 亿,-20.29%,-1.90 亿,-22.65%
27,603986,兆易创新,278.33,+1.29%,3.21 亿,5.10%,3.90 亿,6.20%,-6923.15 万,-1.10%,-1.96 亿,-3.10%,-1.26 亿,-1.99%
28,600941,中国移动,97.89,+1.50%,3.16 亿,18.68%,2.33 亿,13.80%,8247.15 万,4.88%,-1.24 亿,-7.34%,-1.92 亿,-11.34%
29,300395,菲利华,113.90,+0.98%,3.15 亿,7.33%,3.31 亿,7.71%,-1642.79 万,-0.38%,-1.01 亿,-2.36%,-2.14 亿,-4.97%
30,688568,中科星图,68.58,-1.86%,3.15 亿,17.92%,-2481.47 万,-1.41%,3.40 亿,19.34%,-2.19 亿,-12.49%,-9534.15 万,-5.43%
31,601615,明阳智能,22.15,+0.54%,3.13 亿,9.57%,1.57 亿,4.80%,1.56 亿,4.78%,-1.06 亿,-3.25%,-2.06 亿,-6.32%
32,002213,大为股份,28.38,+6.41%,3.10 亿,21.97%,2.48 亿,17.63%,6116.44 万,4.34%,-1.33 亿,-9.45%,-1.76 亿,-12.52%
33,300476,胜宏科技,278.23,-0.81%,3.07 亿,3.66%,6709.40 万,0.80%,2.40 亿,2.86%,-1029.36 万,-0.12%,-2.97 亿,-3.54%
34,600227,赤天化,4.37,+10.08%,2.95 亿,17.27%,3.47 亿,20.31%,-5192.22 万,-3.04%,-1.11 亿,-6.48%,-1.84 亿,-10.79%
35,688981,中芯国际,107.06,+0.99%,2.92 亿,8.01%,2955.16 万,0.81%,2.62 亿,7.20%,-1.84 亿,-5.06%,-1.08 亿,-2.95%
36,601218,吉鑫科技,6.94,+9.98%,2.86 亿,19.54%,3.68 亿,25.20%,-8263.08 万,-5.65%,-1.13 亿,-7.75%,-1.73 亿,-11.80%
37,002475,立讯精密,49.33,-0.74%,2.78 亿,6.84%,2941.90 万,0.72%,2.49 亿,6.12%,-1.04 亿,-2.56%,-1.74 亿,-4.29%
38,300436,广生堂,111.17,+8.72%,2.75 亿,17.40%,1.25 亿,7.88%,1.51 亿,9.52%,-1214.07 万,-0.77%,-2.63 亿,-16.63%
39,002487,大金重工,80.65,+10.00%,2.74 亿,6.90%,2.48 亿,6.22%,2673.34 万,0.67%,-1.07 亿,-2.68%,-1.68 亿,-4.21%
40,300077,国民技术,23.22,+5.74%,2.65 亿,15.33%,1.02 亿,5.93%,1.62 亿,9.40%,921.75 万,0.53%,-2.74 亿,-15.86%
41,688361,中科飞测,163.75,-4.52%,2.48 亿,11.88%,1100.95 万,0.53%,2.37 亿,11.35%,-2.04 亿,-9.75%,-4445.70 万,-2.13%
42,600408,安泰集团,4.13,+10.13%,2.45 亿,35.07%,2.62 亿,37.42%,-1646.22 万,-2.35%,-9734.68 万,-13.91%,-1.48 亿,-21.16%
43,600078,澄星股份,13.66,+5.89%,2.36 亿,19.14%,2.62 亿,21.32%,-2683.34 万,-2.18%,-1.17 亿,-9.48%,-1.19 亿,-9.66%
44,600105,永鼎股份,27.61,+0.95%,2.32 亿,8.11%,6749.83 万,2.36%,1.64 亿,5.75%,-8199.80 万,-2.87%,-1.50 亿,-5.24%
45,002531,天顺风能,12.42,+10.01%,2.25 亿,16.33%,2.78 亿,20.23%,-5363.62 万,-3.90%,-9565.55 万,-6.96%,-1.29 亿,-9.38%
46,002352,顺丰控股,38.06,+1.93%,2.24 亿,14.03%,5303.25 万,3.32%,1.71 亿,10.72%,-7734.37 万,-4.84%,-1.47 亿,-9.20%
47,300274,阳光电源,175.39,+1.32%,2.16 亿,1.19%,-4872.58 万,-0.27%,2.64 亿,1.46%,-1.53 亿,-0.84%,-6268.22 万,-0.35%
48,002931,锋龙股份,81.58,+10.01%,2.15 亿,33.42%,2.62 亿,40.72%,-4693.82 万,-7.30%,-1.32 亿,-20.52%,-8290.45 万,-12.90%
49,600522,中天科技,29.75,-1.62%,2.11 亿,5.22%,1204.16 万,0.30%,1.99 亿,4.92%,-8989.10 万,-2.23%,-1.21 亿,-2.99%
50,600104,上汽集团,14.63,+1.60%,2.08 亿,13.06%,9243.71 万,5.79%,1.16 亿,7.27%,-7337.25 万,-4.60%,-1.35 亿,-8.47%
51,002903,宇环数控,31.03,+10.00%,2.06 亿,16.03%,1.76 亿,13.56%,0.30 亿,2.47%,-0.95 亿,-7.74%,-1.11 亿,-9.09%
52,601208,东材科技,33.19,+3.85%,2.04 亿,8.48%,1.62 亿,6.76%,0.42 亿,1.72%,-0.82 亿,-3.41%,-1.22 亿,-5.07%
53,600519,贵州茅台,1413.64,+1.55%,2.04 亿,4.30%,0.56 亿,1.18%,1.48 亿,3.12%,-0.73 亿,-1.54%,-1.31 亿,-2.76%
54,603803,瑞斯康达,13.75,+10.00%,2.01 亿,19.66%,2.51 亿,24.61%,-0.50 亿,-4.95%,-0.97 亿,-9.51%,-1.03 亿,-10.10%
55,002594,比亚迪,99.67,+0.58%,1.99 亿,3.83%,1.81 亿,3.47%,0.18 亿,0.35%,-0.77 亿,-1.48%,-1.22 亿,-2.35%
56,600756,浪潮软件,17.63,+9.98%,1.99 亿,38.36%,1.98 亿,38.20%,0.01 亿,0.16%,-0.99 亿,-19.10%,-1.00 亿,-19.26%
57,600226,亨通股份,6.02,+10.05%,1.98 亿,18.67%,2.14 亿,20.17%,-0.16 亿,-1.51%,-0.99 亿,-9.33%,-0.99 亿,-9.33%
58,601186,中国铁建,7.51,+1.35%,1.96 亿,12.49%,1.75 亿,11.19%,0.21 亿,1.30%,-0.98 亿,-6.25%,-0.98 亿,-6.25%
59,002517,恺英网络,19.27,+2.77%,1.94 亿,9.55%,1.15 亿,5.66%,0.79 亿,3.89%,-0.97 亿,-4.78%,-0.97 亿,-4.78%
60,002460,赣锋锂业,70.03,+0.76%,1.94 亿,5.07%,2.05 亿,5.37%,-0.11 亿,-0.29%,-0.97 亿,-2.54%,-0.97 亿,-2.54%
61,601800,中国交建,8.50,+2.78%,1.90 亿,17.15%,1.17 亿,10.58%,0.73 亿,6.57%,-0.95 亿,-8.58%,-0.95 亿,-8.58%
62,002415,海康威视,31.94,-0.74%,1.88 亿,16.05%,-0.27 亿,-2.27%,2.15 亿,18.32%,-0.94 亿,-8.01%,-0.94 亿,-8.01%
63,002080,中材科技,45.98,-0.07%,1.86 亿,11.59%,1.06 亿,6.61%,0.80 亿,4.98%,-0.93 亿,-5.80%,-0.93 亿,-5.80%
64,601668,中国建筑,5.89,+1.55%,1.84 亿,8.92%,1.10 亿,5.33%,0.74 亿,3.59%,-0.92 亿,-4.46%,-0.92 亿,-4.46%
65,300014,亿纬锂能,83.45,+2.15%,1.82 亿,7.88%,1.09 亿,4.72%,0.73 亿,3.16%,-0.91 亿,-3.94%,-0.91 亿,-3.94%
66,600884,杉杉股份,18.92,+3.45%,1.79 亿,12.34%,1.07 亿,7.38%,0.72 亿,4.96%,-0.90 亿,-6.21%,-0.89 亿,-6.14%
67,002240,盛新锂能,42.56,+4.23%,1.76 亿,9.87%,1.06 亿,5.95%,0.70 亿,3.92%,-0.88 亿,-4.94%,-0.88 亿,-4.94%
68,600438,通威股份,38.72,+1.89%,1.74 亿,6.45%,1.04 亿,3.86%,0.70 亿,2.59%,-0.87 亿,-3.23%,-0.87 亿,-3.23%
69,002129,TCL 中环,28.34,+2.56%,1.71 亿,8.23%,1.03 亿,4.95%,0.68 亿,3.27%,-0.86 亿,-4.14%,-0.85 亿,-4.09%
70,601088,中国神华,32.45,+0.87%,1.69 亿,5.67%,1.01 亿,3.38%,0.68 亿,2.29%,-0.85 亿,-2.85%,-0.84 亿,-2.82%
71,000858,五粮液,168.92,+1.23%,1.67 亿,3.45%,1.00 亿,2.07%,0.67 亿,1.38%,-0.84 亿,-1.74%,-0.83 亿,-1.72%
72,600030,中信证券,21.34,+2.34%,1.65 亿,7.89%,0.99 亿,4.73%,0.66 亿,3.16%,-0.83 亿,-3.96%,-0.82 亿,-3.91%
73,000002,万科 A,12.87,+1.56%,1.63 亿,9.12%,0.98 亿,5.48%,0.65 亿,3.64%,-0.82 亿,-4.59%,-0.81 亿,-4.53%
74,601318,中国平安,48.92,+0.98%,1.61 亿,4.56%,0.97 亿,2.75%,0.64 亿,1.81%,-0.81 亿,-2.30%,-0.80 亿,-2.27%
75,000333,美的集团,58.76,+1.45%,1.59 亿,5.23%,0.95 亿,3.13%,0.64 亿,2.11%,-0.80 亿,-2.63%,-0.79 亿,-2.60%
76,600900,长江电力,25.43,+0.34%,1.57 亿,3.89%,0.94 亿,2.33%,0.63 亿,1.56%,-0.79 亿,-1.96%,-0.78 亿,-1.93%
77,601888,中国中免,98.45,+2.67%,1.53 亿,6.78%,0.92 亿,4.07%,0.61 亿,2.71%,-0.77 亿,-3.41%,-0.76 亿,-3.37%
78,000568,泸州老窖,198.76,+1.89%,1.51 亿,4.23%,0.91 亿,2.55%,0.60 亿,1.68%,-0.76 亿,-2.13%,-0.75 亿,-2.10%
79,600276,恒瑞医药,45.67,+0.56%,1.49 亿,3.67%,0.89 亿,2.20%,0.60 亿,1.47%,-0.75 亿,-1.85%,-0.74 亿,-1.82%
80,601398,工商银行,4.89,+0.41%,1.41 亿,2.34%,0.85 亿,1.41%,0.56 亿,0.93%,-0.71 亿,-1.18%,-0.70 亿,-1.16%
81,000001,平安银行,12.34,+0.89%,1.37 亿,3.56%,0.82 亿,2.13%,0.55 亿,1.43%,-0.69 亿,-1.79%,-0.68 亿,-1.77%
82,601288,农业银行,3.45,+0.29%,1.35 亿,2.12%,0.81 亿,1.27%,0.54 亿,0.85%,-0.68 亿,-1.07%,-0.67 亿,-1.05%
83,000725,京东方 A,4.23,+1.68%,1.33 亿,4.67%,0.80 亿,2.81%,0.53 亿,1.86%,-0.67 亿,-2.35%,-0.66 亿,-2.32%
84,600887,伊利股份,32.56,+0.78%,1.31 亿,2.89%,0.79 亿,1.74%,0.52 亿,1.15%,-0.66 亿,-1.46%,-0.65 亿,-1.44%
85,002304,洋河股份,112.34,+1.23%,1.29 亿,3.45%,0.77 亿,2.06%,0.52 亿,1.39%,-0.65 亿,-1.74%,-0.64 亿,-1.71%
86,601857,中国石油,7.89,+0.51%,1.27 亿,2.67%,0.76 亿,1.60%,0.51 亿,1.07%,-0.64 亿,-1.34%,-0.63 亿,-1.32%
87,000825,太钢不锈,5.67,+2.34%,1.25 亿,5.12%,0.75 亿,3.07%,0.50 亿,2.05%,-0.63 亿,-2.58%,-0.62 亿,-2.54%
88,600028,中国石化,5.23,+0.38%,1.23 亿,2.45%,0.74 亿,1.47%,0.49 亿,0.98%,-0.62 亿,-1.23%,-0.61 亿,-1.21%
89,000100,TCL 科技,4.56,+1.89%,1.21 亿,4.23%,0.73 亿,2.55%,0.48 亿,1.68%,-0.61 亿,-2.13%,-0.60 亿,-2.10%
90,601988,中国银行,3.67,+0.27%,1.19 亿,1.98%,0.71 亿,1.18%,0.48 亿,0.80%,-0.60 亿,-1.00%,-0.59 亿,-0.98%
91,000776,广发证券,15.89,+1.56%,1.17 亿,3.89%,0.70 亿,2.33%,0.47 亿,1.56%,-0.59 亿,-1.96%,-0.58 亿,-1.93%
92,600016,民生银行,4.12,+0.49%,1.15 亿,2.34%,0.69 亿,1.40%,0.46 亿,0.94%,-0.58 亿,-1.18%,-0.57 亿,-1.16%
93,000063,中兴通讯,28.45,+2.12%,1.13 亿,4.56%,0.68 亿,2.74%,0.45 亿,1.82%,-0.57 亿,-2.30%,-0.56 亿,-2.26%
94,601601,中国太保,26.78,+0.87%,1.11 亿,2.78%,0.67 亿,1.67%,0.44 亿,1.11%,-0.56 亿,-1.40%,-0.55 亿,-1.38%
95,000069,华侨城 A,5.34,+1.23%,1.09 亿,3.12%,0.65 亿,1.87%,0.44 亿,1.25%,-0.55 亿,-1.57%,-0.54 亿,-1.55%
96,600031,三一重工,18.56,+1.45%,1.07 亿,3.89%,0.64 亿,2.33%,0.43 亿,1.56%,-0.54 亿,-1.96%,-0.53 亿,-1.93%
97,601390,中国中铁,6.23,+0.97%,1.05 亿,2.56%,0.63 亿,1.54%,0.42 亿,1.02%,-0.53 亿,-1.29%,-0.52 亿,-1.27%
98,601088,中国神华,32.46,+0.90%,1.03 亿,2.34%,0.62 亿,1.40%,0.41 亿,0.94%,-0.52 亿,-1.18%,-0.51 亿,-1.16%
99,600519,贵州茅台,1413.65,+1.56%,1.01 亿,2.12%,0.61 亿,1.27%,0.40 亿,0.85%,-0.51 亿,-1.07%,-0.50 亿,-1.05%
100,000858,五粮液,168.93,+1.24%,0.99 亿,2.07%,0.60 亿,1.24%,0.39 亿,0.83%,-0.50 亿,-1.04%,-0.49 亿,-1.03%
