排名,股票代码,股票名称,最新价,5 日涨跌幅,5 日主力净流入 - 净额,5 日主力净流入 - 净占比,5 日超大单净流入 - 净额,5 日超大单净流入 - 净占比,5 日大单净流入 - 净额,5 日大单净流入 - 净占比,5 日中单净流入 - 净额,5 日中单净流入 - 净占比,5 日小单净流入 - 净额,5 日小单净流入 - 净占比
76,600900,长江电力,25.43,+1.19%,8.63亿,2.92%,8.63亿,3.50%,-2.35亿,-1.56%,-3.93亿,-2.33%,-4.71亿,-2.72%
77,601888,中国中免,98.45,+9.34%,8.38亿,5.02%,8.38亿,6.02%,-2.29亿,-2.71%,-3.83亿,-4.07%,-4.59亿,-4.75%
78,000568,泸州老窖,198.76,+6.61%,8.24亿,3.09%,8.24亿,3.71%,-2.26亿,-1.69%,-3.77亿,-2.54%,-4.53亿,-2.96%
79,600276,恒瑞医药,45.67,+1.96%,8.11亿,2.64%,8.11亿,3.17%,-2.23亿,-1.47%,-3.73亿,-2.20%,-4.47亿,-2.57%
80,601398,工商银行,4.89,+1.43%,7.64亿,1.66%,7.64亿,1.99%,-2.11亿,-0.94%,-3.52亿,-1.40%,-4.23亿,-1.64%
81,000001,平安银行,12.34,+3.12%,7.40亿,2.49%,7.40亿,2.99%,-2.06亿,-1.42%,-3.43亿,-2.14%,-4.11亿,-2.49%
82,601288,农业银行,3.45,+1.01%,7.26亿,1.46%,7.26亿,1.76%,-2.03亿,-0.85%,-3.38亿,-1.27%,-4.05亿,-1.48%
83,000725,京东方 A,4.23,+5.88%,7.13亿,3.18%,7.13亿,3.81%,-2.00亿,-1.87%,-3.33亿,-2.80%,-3.99亿,-3.27%
84,600887,伊利股份,32.56,+2.73%,7.00亿,1.94%,7.00亿,2.32%,-1.97亿,-1.16%,-3.28亿,-1.73%,-3.93亿,-2.02%
85,002304,洋河股份,112.34,+4.30%,6.86亿,2.28%,6.86亿,2.73%,-1.94亿,-1.38%,-3.23亿,-2.07%,-3.87亿,-2.42%
86,601857,中国石油,7.89,+1.79%,6.73亿,1.74%,6.73亿,2.08%,-1.91亿,-1.07%,-3.17亿,-1.60%,-3.81亿,-1.87%
87,000825,太钢不锈,5.67,+8.19%,6.60亿,3.28%,6.60亿,3.93%,-1.88亿,-2.05%,-3.12亿,-3.07%,-3.75亿,-3.58%
88,600028,中国石化,5.23,+1.33%,6.47亿,1.54%,6.47亿,1.85%,-1.84亿,-0.98%,-3.08亿,-1.47%,-3.69亿,-1.72%
89,000100,TCL 科技,4.56,+6.61%,6.34亿,2.62%,6.34亿,3.15%,-1.81亿,-1.69%,-3.02亿,-2.54%,-3.63亿,-2.96%
90,601988,中国银行,3.67,+0.95%,6.21亿,1.21%,6.21亿,1.45%,-1.78亿,-0.79%,-2.97亿,-1.19%,-3.57亿,-1.39%
91,000776,广发证券,15.89,+5.46%,6.08亿,2.33%,6.08亿,2.80%,-1.75亿,-1.56%,-2.92亿,-2.33%,-3.51亿,-2.72%
92,600016,民生银行,4.12,+1.71%,5.96亿,1.38%,5.96亿,1.66%,-1.72亿,-0.94%,-2.88亿,-1.40%,-3.45亿,-1.64%
93,000063,中兴通讯,28.45,+7.42%,5.83亿,2.64%,5.83亿,3.17%,-1.69亿,-1.82%,-2.82亿,-2.74%,-3.39亿,-3.19%
94,601601,中国太保,26.78,+3.04%,5.71亿,1.58%,5.71亿,1.90%,-1.67亿,-1.11%,-2.78亿,-1.67%,-3.33亿,-1.95%
95,000069,华侨城 A,5.34,+4.30%,5.58亿,1.75%,5.58亿,2.10%,-1.64亿,-1.25%,-2.73亿,-1.87%,-3.27亿,-2.18%
96,600031,三一重工,18.56,+5.08%,5.46亿,2.14%,5.46亿,2.57%,-1.60亿,-1.56%,-2.68亿,-2.33%,-3.21亿,-2.72%
97,601390,中国中铁,6.23,+3.40%,5.33亿,1.38%,5.33亿,1.66%,-1.57亿,-1.02%,-2.62亿,-1.54%,-3.15亿,-1.79%
98,601088,中国神华,32.46,+3.15%,5.21亿,1.24%,5.21亿,1.49%,-1.54亿,-0.94%,-2.58亿,-1.40%,-3.09亿,-1.64%
99,600519,贵州茅台,1413.65,+5.46%,5.09亿,1.10%,5.09亿,1.32%,-1.51亿,-0.85%,-2.52亿,-1.27%,-3.03亿,-1.48%
100,000858,五粮液,168.93,+4.34%,4.97亿,1.06%,4.97亿,1.27%,-1.48亿,-0.83%,-2.48亿,-1.24%,-2.97亿,-1.45%
