排名,股票代码,股票名称,最新价,10 日涨跌幅,10 日主力净流入 - 净额,10 日主力净流入 - 净占比,10 日超大单净流入 - 净额,10 日超大单净流入 - 净占比,10 日大单净流入 - 净额,10 日大单净流入 - 净占比,10 日中单净流入 - 净额,10 日中单净流入 - 净占比,10 日小单净流入 - 净额,10 日小单净流入 - 净占比
48,002931,锋龙股份,81.58,+70.07%,26.06亿,34.42%,26.06亿,41.31%,-6.45亿,-13.37%,-10.75亿,-20.05%,-12.90亿,-23.39%
49,600522,中天科技,29.75,+-11.34%,25.49亿,5.32%,25.49亿,6.39%,-6.33亿,-2.09%,-10.55亿,-3.13%,-12.66亿,-3.65%
50,600104,上汽集团,14.63,+11.20%,25.04亿,13.19%,25.04亿,15.83%,-6.24亿,-5.22%,-10.40亿,-7.84%,-12.48亿,-9.14%
51,002903,宇环数控,31.03,+70.00%,24.72亿,16.03%,24.72亿,19.24%,-6.18亿,-6.41%,-10.30亿,-9.62%,-12.36亿,-11.22%
52,601208,东材科技,33.19,+26.95%,24.40亿,8.40%,24.40亿,10.07%,-6.12亿,-3.39%,-10.20亿,-5.09%,-12.24亿,-5.94%
53,600519,贵州茅台,1413.64,+10.85%,24.32亿,4.21%,24.32亿,5.06%,-6.12亿,-1.72%,-10.20亿,-2.58%,-12.24亿,-3.01%
54,603803,瑞斯康达,13.75,+70.00%,23.88亿,19.07%,23.88亿,22.88%,-6.03亿,-7.86%,-10.05亿,-11.80%,-12.06亿,-13.76%
55,002594,比亚迪,99.67,+4.06%,23.56亿,3.68%,23.56亿,4.41%,-5.97亿,-1.53%,-9.95亿,-2.30%,-11.94亿,-2.68%
56,600756,浪潮软件,17.63,+69.86%,23.48亿,36.44%,23.48亿,43.73%,-5.97亿,-15.34%,-9.95亿,-23.02%,-11.94亿,-26.85%
57,600226,亨通股份,6.02,+70.35%,23.28亿,17.55%,23.28亿,21.06%,-5.94亿,-7.47%,-9.90亿,-11.20%,-11.88亿,-13.07%
58,601186,中国铁建,7.51,+9.45%,22.97亿,11.62%,22.97亿,13.94%,-5.88亿,-5.00%,-9.80亿,-7.49%,-11.76亿,-8.74%
59,002517,恺英网络,19.27,+19.39%,22.66亿,8.79%,22.66亿,10.54%,-5.82亿,-3.82%,-9.70亿,-5.73%,-11.64亿,-6.69%
60,002460,赣锋锂业,70.03,+5.32%,22.58亿,4.61%,22.58亿,5.54%,-5.82亿,-2.03%,-9.70亿,-3.04%,-11.64亿,-3.55%
61,601800,中国交建,8.50,+19.46%,22.04亿,15.43%,22.04亿,18.52%,-5.70亿,-6.86%,-9.50亿,-10.29%,-11.40亿,-12.00%
62,002415,海康威视,31.94,+-5.18%,21.73亿,14.28%,21.73亿,17.14%,-5.64亿,-6.42%,-9.40亿,-9.63%,-11.28亿,-11.23%
63,002080,中材科技,45.98,+-0.49%,21.43亿,10.20%,21.43亿,12.24%,-5.58亿,-4.64%,-9.30亿,-6.95%,-11.16亿,-8.11%
64,601668,中国建筑,5.89,+10.85%,21.12亿,7.76%,21.12亿,9.31%,-5.52亿,-3.57%,-9.20亿,-5.35%,-11.04亿,-6.24%
65,300014,亿纬锂能,83.45,+15.05%,20.82亿,6.78%,20.82亿,8.13%,-5.46亿,-3.15%,-9.10亿,-4.73%,-10.92亿,-5.52%
66,600884,杉杉股份,18.92,+24.15%,20.41亿,10.49%,20.41亿,12.59%,-5.37亿,-4.94%,-8.95亿,-7.40%,-10.74亿,-8.64%
67,002240,盛新锂能,42.56,+29.61%,19.99亿,8.29%,19.99亿,9.95%,-5.28亿,-3.95%,-8.80亿,-5.92%,-10.56亿,-6.91%
68,600438,通威股份,38.72,+13.23%,19.70亿,5.35%,19.70亿,6.42%,-5.22亿,-2.58%,-8.70亿,-3.87%,-10.44亿,-4.51%
69,002129,TCL 中环,28.34,+17.92%,19.29亿,6.75%,19.29亿,8.10%,-5.13亿,-3.29%,-8.55亿,-4.94%,-10.26亿,-5.76%
70,601088,中国神华,32.45,+6.09%,19.00亿,4.59%,19.00亿,5.51%,-5.07亿,-2.27%,-8.45亿,-3.40%,-10.14亿,-3.97%
71,000858,五粮液,168.92,+8.61%,18.70亿,2.76%,18.70亿,3.31%,-5.01亿,-1.38%,-8.35亿,-2.07%,-10.02亿,-2.42%
72,600030,中信证券,21.34,+16.38%,18.41亿,6.23%,18.41亿,7.48%,-4.95亿,-3.16%,-8.25亿,-4.73%,-9.90亿,-5.52%
73,000002,万科 A,12.87,+10.92%,18.13亿,7.11%,18.13亿,8.54%,-4.89亿,-3.65%,-8.15亿,-5.47%,-9.78亿,-6.38%
74,601318,中国平安,48.92,+6.86%,17.84亿,3.51%,17.84亿,4.21%,-4.83亿,-1.82%,-8.05亿,-2.74%,-9.66亿,-3.19%
75,000333,美的集团,58.76,+10.15%,17.55亿,3.97%,17.55亿,4.77%,-4.77亿,-2.09%,-7.95亿,-3.14%,-9.54亿,-3.66%
76,600900,长江电力,25.43,+2.38%,17.27亿,2.92%,17.27亿,3.50%,-4.71亿,-1.56%,-7.85亿,-2.33%,-9.42亿,-2.72%
77,601888,中国中免,98.45,+18.69%,16.77亿,5.02%,16.77亿,6.02%,-4.59亿,-2.71%,-7.65亿,-4.07%,-9.18亿,-4.75%
78,000568,泸州老窖,198.76,+13.23%,16.49亿,3.09%,16.49亿,3.71%,-4.53亿,-1.69%,-7.55亿,-2.54%,-9.06亿,-2.96%
79,600276,恒瑞医药,45.67,+3.92%,16.21亿,2.64%,16.21亿,3.17%,-4.47亿,-1.47%,-7.45亿,-2.20%,-8.94亿,-2.57%
80,601398,工商银行,4.89,+2.87%,15.28亿,1.66%,15.28亿,1.99%,-4.23亿,-0.94%,-7.05亿,-1.40%,-8.46亿,-1.64%
81,000001,平安银行,12.34,+6.23%,14.80亿,2.49%,14.80亿,2.99%,-4.11亿,-1.42%,-6.85亿,-2.14%,-8.22亿,-2.49%
82,601288,农业银行,3.45,+2.03%,14.53亿,1.46%,14.53亿,1.76%,-4.05亿,-0.85%,-6.75亿,-1.27%,-8.10亿,-1.48%
83,000725,京东方 A,4.23,+11.76%,14.26亿,3.18%,14.26亿,3.81%,-3.99亿,-1.87%,-6.65亿,-2.80%,-7.98亿,-3.27%
84,600887,伊利股份,32.56,+5.46%,13.99亿,1.94%,13.99亿,2.32%,-3.93亿,-1.16%,-6.55亿,-1.73%,-7.86亿,-2.02%
85,002304,洋河股份,112.34,+8.61%,13.73亿,2.28%,13.73亿,2.73%,-3.87亿,-1.38%,-6.45亿,-2.07%,-7.74亿,-2.42%
86,601857,中国石油,7.89,+3.57%,13.46亿,1.74%,13.46亿,2.08%,-3.81亿,-1.07%,-6.35亿,-1.60%,-7.62亿,-1.87%
87,000825,太钢不锈,5.67,+16.38%,13.20亿,3.28%,13.20亿,3.93%,-3.75亿,-2.05%,-6.25亿,-3.07%,-7.50亿,-3.58%
88,600028,中国石化,5.23,+2.66%,12.94亿,1.54%,12.94亿,1.85%,-3.69亿,-0.98%,-6.15亿,-1.47%,-7.38亿,-1.72%
89,000100,TCL 科技,4.56,+13.23%,12.68亿,2.62%,12.68亿,3.15%,-3.63亿,-1.69%,-6.05亿,-2.54%,-7.26亿,-2.96%
90,601988,中国银行,3.67,+1.89%,12.42亿,1.21%,12.42亿,1.45%,-3.57亿,-0.79%,-5.95亿,-1.19%,-7.14亿,-1.39%
91,000776,广发证券,15.89,+10.92%,12.17亿,2.33%,12.17亿,2.80%,-3.51亿,-1.56%,-5.85亿,-2.33%,-7.02亿,-2.72%
92,600016,民生银行,4.12,+3.43%,11.91亿,1.38%,11.91亿,1.66%,-3.45亿,-0.94%,-5.75亿,-1.40%,-6.90亿,-1.64%
93,000063,中兴通讯,28.45,+14.84%,11.66亿,2.64%,11.66亿,3.17%,-3.39亿,-1.82%,-5.65亿,-2.74%,-6.78亿,-3.19%
94,601601,中国太保,26.78,+6.09%,11.41亿,1.58%,11.41亿,1.90%,-3.33亿,-1.11%,-5.55亿,-1.67%,-6.66亿,-1.95%
95,000069,华侨城 A,5.34,+8.61%,11.16亿,1.75%,11.16亿,2.10%,-3.27亿,-1.25%,-5.45亿,-1.87%,-6.54亿,-2.18%
96,600031,三一重工,18.56,+10.15%,10.91亿,2.14%,10.91亿,2.57%,-3.21亿,-1.56%,-5.35亿,-2.33%,-6.42亿,-2.72%
97,601390,中国中铁,6.23,+6.79%,10.67亿,1.38%,10.67亿,1.66%,-3.15亿,-1.02%,-5.25亿,-1.54%,-6.30亿,-1.79%
98,601088,中国神华,32.46,+6.30%,10.42亿,1.24%,10.42亿,1.49%,-3.09亿,-0.94%,-5.15亿,-1.40%,-6.18亿,-1.64%
99,600519,贵州茅台,1413.65,+10.92%,10.18亿,1.10%,10.18亿,1.32%,-3.03亿,-0.85%,-5.05亿,-1.27%,-6.06亿,-1.48%
100,000858,五粮液,168.93,+8.68%,9.94亿,1.06%,9.94亿,1.27%,-2.97亿,-0.83%,-4.95亿,-1.24%,-5.94亿,-1.45%
